Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
FIXED for  Dillon, Montana 	 45.215833333333 , -112.63416666667 	 45.215833333333 , -112.63416666667
FIXED for  Dillon, South Carolina 	 34.417777777778 , -79.368055555556 	 34.417777777778 , -79.368055555556
FIXED for  Dinan 	 48.455555555556 , -2.0502777777778 	 48.455555555556 , -2.0502777777778
FIXED for  Dina, Pakistan 	 33.016666666667 , 73.833333333333 	 33.016666666667 , 73.833333333333
FIXED for  Dinga 	 32.641 , 73.7243 	 32.641 , 73.7243
FIXED for  Dingle 	 52.139915 , -10.27153 	 52.139915 , -10.27153
FIXED for  Dingle, Iloilo 	 11.05 , 122.66666666667 	 11.05 , 122.66666666667
FIXED for  Dingle, Liverpool 	 53.3774 , -2.9613 	 53.3774 , -2.9613
FIXED for  Dingli 	 35.860277777778 , 14.381388888889 	 35.860277777778 , 14.381388888889
FIXED for  Dion, Pieria 	 40.171944444444 , 22.4825 	 40.171944444444 , 22.4825
FIXED for  Dol, Gornji Grad 	 46.287719 , 14.785733 	 46.287719 , 14.785733
FIXED for  Dolo, Ethiopia 	 4.16667 , 42.0667 	 4.16667 , 42.0667
FIXED for  Dolores, Colorado 	 37.4744 , -108.498 	 37.4744 , -108.498
FIXED for  Dongfang, Hainan 	 19.1 , 108.65 	 19.1 , 108.65
FIXED for  Donggang, Pingtung 	 22.466666666667 , 120.45444444444 	 22.466666666667 , 120.45444444444
FIXED for  Dongguan 	 23.01797 , 113.74866 	 23.01797 , 113.74866
FIXED for  Dongo, Lombardy 	 46.12999 , 9.28169 	 46.12999 , 9.28169
FIXED for  Dongtai 	 32.85343 , 120.30366 	 32.85343 , 120.30366
FIXED for  Dongxing, Guangxi 	 21.583333333333 , 108.05 	 21.583333333333 , 108.05
FIXED for  Dongyang 	 29.26778 , 120.22528 	 29.26778 , 120.22528
FIXED for  Donnybrook, Oregon 	 44.739 , -120.596 	 44.739 , -120.596
FIXED for  Donnybrook, Queensland 	 -27.0 , 153.067 	 -27.0 , 153.067
FIXED for  Dora, Baghdad 	 33.251388888889 , 44.391944444444 	 33.251388888889 , 44.391944444444
FIXED for  Dora, Lebanon 	 33.9 , 35.566666666667 	 33.9 , 35.566666666667
FIXED for  Dora, Missouri 	 36.7769 , -92.2175 	 36.7769 , -92.2175
FIXED for  Dore 	 53.3268 , -1.53453 	 53.3268 , -1.53453
FIXED for  Douglas, Arizona 	 31.345 , -109.54138888889 	 31.345 , -109.54138888889
FIXED for  Douglas County, Colorado 	 39.35 , -104.93 	 39.35 , -104.93
FIXED for  Douglas County, Georgia 	 33.7 , -84.77 	 33.7 , -84.77
FIXED for  Douglas County, Kansas 	 38.8667 , -95.2333 	 38.8667 , -95.2333
FIXED for  Douglas County, Missouri 	 36.93 , -92.5 	 36.93 , -92.5
FIXED for  Douglas County, Nebraska 	 41.3 , -96.15 	 41.3 , -96.15
FIXED for  Douglas County, Nevada 	 38.92 , -119.61 	 38.92 , -119.61
FIXED for  Douglas County, Oregon 	 43.29 , -123.18 	 43.29 , -123.18
FIXED for  Douglas County, Wisconsin 	 46.45 , -91.91 	 46.45 , -91.91
FIXED for  Douglas, Georgia 	 31.5075 , -82.8508 	 31.5075 , -82.8508
FIXED for  Douglas, Isle of Man 	 54.15 , -4.4819444444444 	 54.15 , -4.4819444444444
FIXED for  Douglas, Juneau 	 58.275555555556 , -134.3925 	 58.275555555556 , -134.3925
FIXED for  Douglas, Massachusetts 	 42.05426 , -71.73951 	 42.05426 , -71.73951
FIXED for  Douglas, Michigan 	 42.642777777778 , -86.206111111111 	 42.642777777778 , -86.206111111111
FIXED for  Douglas, Taranaki 	 -39.3 , 174.467 	 -39.3 , 174.467
FIXED for  Douglas, Wyoming 	 42.756111111111 , -105.38444444444 	 42.756111111111 , -105.38444444444
FIXED for  Douma, Lebanon 	 34.2 , 35.83333333 	 34.2 , 35.83333333
FIXED for  Douma, Syria 	 33.572222222222 , 36.401944444444 	 33.572222222222 , 36.401944444444
FIXED for  Dover 	 51.1275 , 1.3122222222222 	 51.1275 , 1.3122222222222
FIXED for  Dover, Arkansas 	 35.4006 , -93.1125 	 35.4006 , -93.1125
FIXED for  Dover, Calgary 	 51.0194 , -113.991 	 51.0194 , -113.991
FIXED for  Dover, Delaware 	 39.161944444444 , -75.526666666667 	 39.161944444444 , -75.526666666667
FIXED for  Dover, Kansas 	 39.025833333333 , -95.900277777778 	 39.025833333333 , -95.900277777778
FIXED for  Dover, Massachusetts 	 42.24593 , -71.28283 	 42.24593 , -71.28283
FIXED for  Dover, New Jersey 	 40.8856 , -74.5592 	 40.8856 , -74.5592
FIXED for  Dover, New York 	 41.689444444444 , -73.580833333333 	 41.689444444444 , -73.580833333333
FIXED for  Dover, Ohio 	 40.5267 , -81.4778 	 40.5267 , -81.4778
FIXED for  Dover, Oklahoma 	 35.98143 , -97.91117 	 35.98143 , -97.91117
FIXED for  Dover, Tennessee 	 36.482222222222 , -87.844722222222 	 36.482222222222 , -87.844722222222
FIXED for  Dover, Utah 	 39.2075 , -111.896 	 39.2075 , -111.896
FIXED for  Dover, Virginia 	 38.9764 , -77.6744 	 38.9764 , -77.6744
FIXED for  Duba, Saudi Arabia 	 27.3493 , 35.6962 	 27.3493 , 35.6962
FIXED for  Dublin 	 53.3425 , -6.2658333333333 	 53.3425 , -6.2658333333333
FIXED for  Dublin, California 	 37.714167 , -121.9125 	 37.714167 , -121.9125
FIXED for  Dublin, Georgia 	 32.5375 , -82.9183 	 32.5375 , -82.9183
FIXED for  Dublin, Maryland 	 39.6508 , -76.2667 	 39.6508 , -76.2667
FIXED for  Dublin, New Hampshire 	 42.90758 , -72.06258 	 42.90758 , -72.06258
FIXED for  Dublin, Ohio 	 40.09923 , -83.11408 	 40.09923 , -83.11408
FIXED for  Dublin, Pennsylvania 	 40.37177 , -75.20156 	 40.37177 , -75.20156
FIXED for  Dublin, Texas 	 32.086666666667 , -98.3425 	 32.086666666667 , -98.3425
FIXED for  Dublin, Virginia 	 37.1031 , -80.6847 	 37.1031 , -80.6847
FIXED for  Dubrava, Zagreb 	 45.82611111 , 16.05111111 	 45.82611111 , 16.05111111
FIXED for  Duma, Nablus 	 32.0575 , 35.367222222222 	 32.0575 , 35.367222222222
FIXED for  Dumbo, Brooklyn 	 40.703055555556 , -73.989444444444 	 40.703055555556 , -73.989444444444
FIXED for  Duncan, Arizona 	 32.72146 , -109.10534 	 32.72146 , -109.10534
FIXED for  Duncan, Colorado 	 37.8742 , -105.614 	 37.8742 , -105.614
FIXED for  Duncan, Nebraska 	 41.39 , -97.495277777778 	 41.39 , -97.495277777778
FIXED for  Duncan, Oklahoma 	 34.516666666667 , -97.949444444444 	 34.516666666667 , -97.949444444444
FIXED for  Duncan, South Carolina 	 34.9379 , -82.14511 	 34.9379 , -82.14511
FIXED for  Dundee 	 56.464 , -2.97 	 56.464 , -2.97
FIXED for  Dundee, Florida 	 28.020833333333 , -81.620833333333 	 28.020833333333 , -81.620833333333
FIXED for  Dundee, Minnesota 	 43.846944444444 , -95.466944444444 	 43.846944444444 , -95.466944444444
FIXED for  Dundee, Mississippi 	 34.5242 , -90.4556 	 34.5242 , -90.4556
FIXED for  Dundee, New South Wales 	 -29.55 , 151.85 	 -29.55 , 151.85
FIXED for  Dundee, New York 	 42.5244 , -76.9747 	 42.5244 , -76.9747
FIXED for  Dundee, Oregon 	 45.276666666667 , -123.01166666667 	 45.276666666667 , -123.01166666667
FIXED for  Dundee, Quebec 	 45.016666666667 , -74.483333333333 	 45.016666666667 , -74.483333333333
FIXED for  Dungu, Democratic Republic of the Congo 	 3.6166666666667 , 28.566666666667 	 3.6166666666667 , 28.566666666667
FIXED for  Dunkeld 	 56.558333333333 , -3.5833333333333 	 56.558333333333 , -3.5833333333333
FIXED for  Dunkeld, Victoria 	 -37.65 , 142.35 	 -37.65 , 142.35
FIXED for  Dura, Hebron 	 31.506791666667 , 35.027716666667 	 31.506791666667 , 35.027716666667
FIXED for  Durango 	 24.934722222222 , -104.91194444444 	 24.934722222222 , -104.91194444444
FIXED for  Durazno 	 -33.383333333333 , -56.516666666667 	 -33.383333333333 , -56.516666666667
FIXED for  Durham, California 	 39.64 , -121.79777777778 	 39.64 , -121.79777777778
FIXED for  Durham, Connecticut 	 41.48176 , -72.68121 	 41.48176 , -72.68121
FIXED for  Durham, Kansas 	 38.4844 , -97.2272 	 38.4844 , -97.2272
FIXED for  Durham, Maine 	 43.9725 , -70.123055555556 	 43.9725 , -70.123055555556
FIXED for  Durham, New Hampshire 	 43.13397 , -70.92645 	 43.13397 , -70.92645
FIXED for  Durham, New York 	 42.383333333333 , -74.15 	 42.383333333333 , -74.15
FIXED for  Durham, North Carolina 	 35.9875 , -78.907222 	 35.9875 , -78.907222
FIXED for  Durham, Ontario 	 44.1833 , -80.8167 	 44.1833 , -80.8167
FIXED for  Durham, Oregon 	 45.394444444444 , -122.75861111111 	 45.394444444444 , -122.75861111111
FIXED for  Eastern Province, Sri Lanka 	 8.571111 , 81.237222 	 8.571111 , 81.237222
FIXED for  Eastern Province, Zambia 	 -13.0 , 32.25 	 -13.0 , 32.25
FIXED for  Easton, Adams County, Wisconsin 	 43.838055555556 , -89.806666666667 	 43.838055555556 , -89.806666666667
FIXED for  Easton, California 	 36.650277777778 , -119.79083333333 	 36.650277777778 , -119.79083333333
FIXED for  Easton, Cambridgeshire 	 52.3299 , -0.3358 	 52.3299 , -0.3358
FIXED for  Easton, Connecticut 	 41.265833333333 , -73.300833333333 	 41.265833333333 , -73.300833333333
FIXED for  Easton, Dorset 	 50.5453 , -2.43635 	 50.5453 , -2.43635
FIXED for  Easton, Hampshire 	 51.085758333333 , -1.2701 	 51.085758333333 , -1.2701
FIXED for  Easton, Lincolnshire 	 52.82331 , -0.61765 	 52.82331 , -0.61765
FIXED for  Easton, Maine 	 46.641111111111 , -67.909444444444 	 46.641111111111 , -67.909444444444
FIXED for  Easton, Maryland 	 38.771666666667 , -76.070555555556 	 38.771666666667 , -76.070555555556
FIXED for  Easton, Massachusetts 	 42.02454 , -71.12866 	 42.02454 , -71.12866
FIXED for  Easton, Missouri 	 39.7228 , -94.6397 	 39.7228 , -94.6397
FIXED for  Easton, New York 	 43.030277777778 , -73.537222222222 	 43.030277777778 , -73.537222222222
FIXED for  Easton, Norfolk 	 52.653 , 1.156 	 52.653 , 1.156
FIXED for  Easton, Pennsylvania 	 40.688333333333 , -75.216388888889 	 40.688333333333 , -75.216388888889
FIXED for  Easton, Suffolk 	 52.179 , 1.337 	 52.179 , 1.337
FIXED for  Eden, County Antrim 	 54.729 , -5.77451 	 54.729 , -5.77451
FIXED for  Eden, New South Wales 	 -37.0667 , 149.9 	 -37.0667 , 149.9
FIXED for  Eden, New York 	 42.65228 , -78.89698 	 42.65228 , -78.89698
FIXED for  Eden, North Carolina 	 36.5064 , -79.745 	 36.5064 , -79.745
FIXED for  Eden, Texas 	 31.2175 , -99.8433 	 31.2175 , -99.8433
FIXED for  Eden, Vermont 	 44.7145498 , -72.5397098 	 44.7145498 , -72.5397098
FIXED for  Ede, Osun 	 7.73333333 , 4.43333333 	 7.73333333 , 4.43333333
FIXED for  Edinburgh 	 55.95 , -3.1988888888889 	 55.95 , -3.1988888888889
FIXED for  Edinburgh, Indiana 	 39.3528 , -85.9675 	 39.3528 , -85.9675
FIXED for  Edinburg, New York 	 43.221666666667 , -74.103888888889 	 43.221666666667 , -74.103888888889
FIXED for  Edinburg, North Dakota 	 48.495277777778 , -97.864166666667 	 48.495277777778 , -97.864166666667
FIXED for  Edinburg, Texas 	 26.3042 , -98.1639 	 26.3042 , -98.1639
FIXED for  Edison, New Jersey 	 40.5274 , -74.3933 	 40.5274 , -74.3933
FIXED for  Edison, Washington 	 48.5625 , -122.436 	 48.5625 , -122.436
FIXED for  Edo 	 35.6894 , 139.692 	 35.6894 , 139.692
FIXED for  El Alto 	 -16.5 , -68.2 	 -16.5 , -68.2
FIXED for  El Bosque, Chiapas 	 17.06667 , -92.71667 	 17.06667 , -92.71667
FIXED for  El Cajon, California 	 32.798333333333 , -116.96 	 32.798333333333 , -116.96
FIXED for  El Carrizal, El Salvador 	 14.1667 , -88.8667 	 14.1667 , -88.8667
FIXED for  El Centro, California 	 32.792 , -115.5630514 	 32.792 , -115.5630514
FIXED for  El Cerrito, California 	 37.915833333333 , -122.31166666667 	 37.915833333333 , -122.31166666667
FIXED for  El Cerrito, Valle del Cauca 	 3.6838888888889 , -76.311111111111 	 3.6838888888889 , -76.311111111111
FIXED for  Elderslie 	 55.8306 , -4.48421 	 55.8306 , -4.48421
FIXED for  Elderslie, New South Wales 	 -34.0546 , 150.712 	 -34.0546 , 150.712
FIXED for  El Dorado, Arkansas 	 33.213611111111 , -92.6625 	 33.213611111111 , -92.6625
FIXED for  El Dorado, California 	 38.68277778 , -120.84777778 	 38.68277778 , -120.84777778
FIXED for  Eldorado, Illinois 	 37.8142 , -88.4408 	 37.8142 , -88.4408
FIXED for  El Dorado, Kansas 	 37.8211 , -96.8583 	 37.8211 , -96.8583
FIXED for  Eldorado, Texas 	 30.8608 , -100.598 	 30.8608 , -100.598
FIXED for  El Espinal, Tolima 	 4.1486111111111 , -74.881944444444 	 4.1486111111111 , -74.881944444444
FIXED for  Elgin, Arizona 	 31.6292 , -110.572 	 31.6292 , -110.572
FIXED for  Elgin, Illinois 	 42.039444444444 , -88.288611111111 	 42.039444444444 , -88.288611111111
FIXED for  Elgin, Kershaw County, South Carolina 	 34.17098 , -80.79425 	 34.17098 , -80.79425
FIXED for  Elgin, Moray 	 57.646388888889 , -3.3152777777778 	 57.646388888889 , -3.3152777777778
FIXED for  Elgin, Oregon 	 45.565555555556 , -117.92111111111 	 45.565555555556 , -117.92111111111
FIXED for  Elgin, Texas 	 30.348611111111 , -97.3725 	 30.348611111111 , -97.3725
FIXED for  Elim, Alaska 	 64.6175 , -162.25667 	 64.6175 , -162.25667
FIXED for  Eli, Nebraska 	 42.9436 , -101.491 	 42.9436 , -101.491
FIXED for  Elizabeth, Colorado 	 39.36027 , -104.59691 	 39.36027 , -104.59691
FIXED for  Elizabeth, Georgia 	 33.9762 , -84.5474 	 33.9762 , -84.5474
FIXED for  Elizabeth, Illinois 	 42.3178 , -90.2214 	 42.3178 , -90.2214
FIXED for  Elizabeth, Indiana 	 38.12118 , -85.97413 	 38.12118 , -85.97413
FIXED for  Elizabeth, Louisiana 	 30.86853 , -92.79293 	 30.86853 , -92.79293
FIXED for  Elizabeth, New Jersey 	 40.662222222222 , -74.209166666667 	 40.662222222222 , -74.209166666667
FIXED for  Elizabeth, South Australia 	 -34.715 , 138.67 	 -34.715 , 138.67
FIXED for  El Monte, California 	 34.073333333333 , -118.0275 	 34.073333333333 , -118.0275
FIXED for  El Nido, Merced County, California 	 37.135 , -120.49222222222 	 37.135 , -120.49222222222
FIXED for  El Nido, Palawan 	 11.195556 , 119.4075 	 11.195556 , 119.4075
FIXED for  El Paso, Arkansas 	 35.1261 , -92.0956 	 35.1261 , -92.0956
FIXED for  El Paso, Illinois 	 40.7389 , -89.0161 	 40.7389 , -89.0161
FIXED for  El Paso, La Palma 	 28.6512932 , -17.8805673 	 28.6512932 , -17.8805673
FIXED for  El Paso, Texas 	 31.790277777778 , -106.42333333333 	 31.790277777778 , -106.42333333333
FIXED for  El Porvenir, Chiapas 	 15.455555555556 , -92.279444444444 	 15.455555555556 , -92.279444444444
FIXED for  El Progreso 	 15.4 , -87.8 	 15.4 , -87.8
FIXED for  El Rancho, California 	 36.2206 , -119.069 	 36.2206 , -119.069
FIXED for  El Remolino 	 21.3636 , -103.124 	 21.3636 , -103.124
FIXED for  El Rio, California 	 34.23917 , -119.15861 	 34.23917 , -119.15861
FIXED for  El Rosario, La Paz 	 13.5 , -89.033333333333 	 13.5 , -89.033333333333
FIXED for  El Salvador 	 13.668889 , -88.866111 	 13.668889 , -88.866111
FIXED for  El Salvador, Chile 	 -26.25 , -69.61666667 	 -26.25 , -69.61666667
FIXED for  El Salvador, Misamis Oriental 	 8.5666666666667 , 124.51666666667 	 8.5666666666667 , 124.51666666667
FIXED for  Eltham 	 51.451477777778 , 0.051772222222222 	 51.451477777778 , 0.051772222222222
FIXED for  Eltham, Victoria 	 -37.715 , 145.158 	 -37.715 , 145.158
FIXED for  El Tigre 	 8.88583333 , -64.26111111 	 8.88583333 , -64.26111111
FIXED for  El Vallecito 	 32.51666667 , -116.24805556 	 32.51666667 , -116.24805556
FIXED for  Ely, Cambridgeshire 	 52.398055555556 , 0.26222222222222 	 52.398055555556 , 0.26222222222222
FIXED for  Ely, Cardiff 	 51.4792 , -3.24972 	 51.4792 , -3.24972
FIXED for  Ely, Minnesota 	 47.902222222222 , -91.855833333333 	 47.902222222222 , -91.855833333333
FIXED for  Ely, Nevada 	 39.253333333333 , -114.87722222222 	 39.253333333333 , -114.87722222222
FIXED for  El Zapotal 	 21.61111111 , -98.38666667 	 21.61111111 , -98.38666667
FIXED for  Embu, Kenya 	 -0.53112 , 37.45061 	 -0.53112 , 37.45061
FIXED for  Emiliano Zapata, Jalisco 	 19.383055555556 , -104.96583333333 	 19.383055555556 , -104.96583333333
FIXED for  Empalme, Sonora 	 27.9634 , -110.80911 	 27.9634 , -110.80911
FIXED for  Ensenada, Baja California 	 31.857777777778 , -116.60583333333 	 31.857777777778 , -116.60583333333
FIXED for  Entroncamento 	 39.466666666667 , -8.4666666666667 	 39.466666666667 , -8.4666666666667
FIXED for  Escalante, Negros Occidental 	 10.833333333333 , 123.5 	 10.833333333333 , 123.5
FIXED for  Escalante, Utah 	 37.769444444444 , -111.60138888889 	 37.769444444444 , -111.60138888889
FIXED for  Escobar, Paraguay 	 -26.016666666667 , -57.05 	 -26.016666666667 , -57.05
FIXED for  Escondido, California 	 33.124722 , -117.080833 	 33.124722 , -117.080833
FIXED for  Esperance, Washington 	 47.795 , -122.348 	 47.795 , -122.348
FIXED for  Esperance, Western Australia 	 -33.861111111111 , 121.89194444444 	 -33.861111111111 , 121.89194444444
FIXED for  Esperanza, Agusan del Sur 	 8.676 , 125.6454 	 8.676 , 125.6454
FIXED for  Esperanza, Masbate 	 11.733333333333 , 124.05 	 11.733333333333 , 124.05
FIXED for  Esperanza, Sultan Kudarat 	 6.7166666666667 , 124.51666666667 	 6.7166666666667 , 124.51666666667
FIXED for  Espiritu Santo 	 -15.25 , 166.83333333333 	 -15.25 , 166.83333333333
FIXED for  Estancia, Iloilo 	 11.4551 , 123.152 	 11.4551 , 123.152
FIXED for  Estanzuela 	 14.99789 , -89.570473 	 14.99789 , -89.570473
FIXED for  Eureka, California 	 40.801944444444 , -124.16361111111 	 40.801944444444 , -124.16361111111
FIXED for  Eureka, Colorado 	 37.879722222222 , -107.565 	 37.879722222222 , -107.565
FIXED for  Eureka, Illinois 	 40.7156 , -89.2753 	 40.7156 , -89.2753
FIXED for  Eureka, Kansas 	 37.8228 , -96.2894 	 37.8228 , -96.2894
FIXED for  Eureka, Missouri 	 38.502736 , -90.645075 	 38.502736 , -90.645075
FIXED for  Eureka, Montana 	 48.880277777778 , -115.04944444444 	 48.880277777778 , -115.04944444444
FIXED for  Eureka, Nevada 	 39.5117 , -115.962 	 39.5117 , -115.962
FIXED for  Eureka, North Carolina 	 35.54266 , -77.87637 	 35.54266 , -77.87637
FIXED for  Eureka, Nunavut 	 79.983333 , -85.816667 	 79.983333 , -85.816667
FIXED for  Eureka, Utah 	 39.955 , -112.116 	 39.955 , -112.116
FIXED for  Eureka, Victoria 	 -37.5648 , 143.8822 	 -37.5648 , 143.8822
FIXED for  Eureka, Winnebago County, Wisconsin 	 44.00443 , -88.84178 	 44.00443 , -88.84178
FIXED for  Exeter 	 50.721538888889 , -3.5331083333333 	 50.721538888889 , -3.5331083333333
FIXED for  Exeter, California 	 36.294166666667 , -119.14277777778 	 36.294166666667 , -119.14277777778
FIXED for  Exeter, Nebraska 	 40.6447 , -97.4492 	 40.6447 , -97.4492
FIXED for  Exeter, New York 	 42.784444444444 , -75.088888888889 	 42.784444444444 , -75.088888888889
FIXED for  Exeter, Ontario 	 43.35 , -81.4833 	 43.35 , -81.4833
FIXED for  Exeter, Pennsylvania 	 41.32064 , -75.81908 	 41.32064 , -75.81908
FIXED for  Exeter, Rhode Island 	 41.563888888889 , -71.605555555556 	 41.563888888889 , -71.605555555556
FIXED for  Exeter, South Australia 	 -34.849 , 138.495 	 -34.849 , 138.495
FIXED for  Fairfield, California 	 38.257777777778 , -122.05416666667 	 38.257777777778 , -122.05416666667
FIXED for  Fairfield, Connecticut 	 41.14121 , -73.26373 	 41.14121 , -73.26373
FIXED for  Fairfield, Idaho 	 43.3461 , -114.791 	 43.3461 , -114.791
FIXED for  Fairfield, Illinois 	 38.3803 , -88.3658 	 38.3803 , -88.3658
FIXED for  Fairfield, Iowa 	 41.007222222222 , -91.965833333333 	 41.007222222222 , -91.965833333333
FIXED for  Fairfield, Liverpool 	 53.404 , -2.935 	 53.404 , -2.935
FIXED for  Fairfield, Maine 	 44.588333333333 , -69.598611111111 	 44.588333333333 , -69.598611111111
FIXED for  Fairfield, Missouri 	 38.1514166 , -93.3943702 	 38.1514166 , -93.3943702
FIXED for  Fairfield, Montana 	 47.61467 , -111.98028 	 47.61467 , -111.98028
FIXED for  Fairfield, New South Wales 	 -33.8703 , 150.956 	 -33.8703 , 150.956
FIXED for  Fairfield, New York 	 43.124722222222 , -74.934444444444 	 43.124722222222 , -74.934444444444
FIXED for  Fairfield, Pennsylvania 	 39.78732 , -77.3686 	 39.78732 , -77.3686
FIXED for  Fairfield, Queensland 	 -27.5065 , 153.025 	 -27.5065 , 153.025
FIXED for  Fairfield, Utah 	 40.262222222222 , -112.09305555556 	 40.262222222222 , -112.09305555556
FIXED for  Fairfield, Victoria 	 -37.792 , 145.011 	 -37.792 , 145.011
FIXED for  Fairfield, Washington 	 47.38518 , -117.17158 	 47.38518 , -117.17158
FIXED for  Fala, Midlothian 	 55.8333 , -2.88333 	 55.8333 , -2.88333
FIXED for  Fala, Ruše 	 46.54955 , 15.452258 	 46.54955 , 15.452258
FIXED for  Fala, Selnica ob Dravi 	 46.546217 , 15.453533 	 46.546217 , 15.453533
FIXED for  Falmouth, Cornwall 	 50.15 , -5.0666666666667 	 50.15 , -5.0666666666667
FIXED for  Falmouth, Jamaica 	 18.493611111111 , -77.655833333333 	 18.493611111111 , -77.655833333333
FIXED for  Falmouth, Kentucky 	 38.6739 , -84.3342 	 38.6739 , -84.3342
FIXED for  Falmouth, Massachusetts 	 41.5515 , -70.61475 	 41.5515 , -70.61475
FIXED for  Falmouth, Nova Scotia 	 44.998580555556 , -64.161619444444 	 44.998580555556 , -64.161619444444
FIXED for  Falmouth, Virginia 	 38.3317 , -77.4614 	 38.3317 , -77.4614
FIXED for  Farah, Afghanistan 	 32.343611111111 , 62.119444444444 	 32.343611111111 , 62.119444444444
FIXED for  Farmington, Arkansas 	 36.042222222222 , -94.245277777778 	 36.042222222222 , -94.245277777778
FIXED for  Farmington, California 	 37.92944 , -120.99944 	 37.92944 , -120.99944
FIXED for  Farmington, Connecticut 	 41.71982 , -72.83204 	 41.71982 , -72.83204
FIXED for  Farmington, Illinois 	 40.6989 , -90.0036 	 40.6989 , -90.0036
FIXED for  Farmington, Maine 	 44.668991666667 , -70.146377777778 	 44.668991666667 , -70.146377777778
FIXED for  Farmington, Michigan 	 42.464444444444 , -83.376388888889 	 42.464444444444 , -83.376388888889
FIXED for  Farmington, Minnesota 	 44.640277777778 , -93.143611111111 	 44.640277777778 , -93.143611111111
FIXED for  Farmington, Missouri 	 37.781944444444 , -90.422222222222 	 37.781944444444 , -90.422222222222
FIXED for  Farmington, New Hampshire 	 43.389722222222 , -71.065555555556 	 43.389722222222 , -71.065555555556
FIXED for  Farmington, New Mexico 	 36.751666666667 , -108.18972222222 	 36.751666666667 , -108.18972222222
FIXED for  Farmington, New York 	 42.980833333333 , -77.321944444444 	 42.980833333333 , -77.321944444444
FIXED for  Farmington, Oregon 	 45.4489 , -122.948 	 45.4489 , -122.948
FIXED for  Farmington, Utah 	 40.986666666667 , -111.89916666667 	 40.986666666667 , -111.89916666667
FIXED for  Fengjing 	 30.88849 , 121.01004 	 30.88849 , 121.01004
FIXED for  Ferndale, California 	 40.576666666667 , -124.26333333333 	 40.576666666667 , -124.26333333333
FIXED for  Ferndale, Pennsylvania 	 40.28896 , -78.91475 	 40.28896 , -78.91475
FIXED for  Ferndale, Rhondda Cynon Taf 	 51.6577 , -3.44588 	 51.6577 , -3.44588
FIXED for  Ferndale, Washington 	 48.8489 , -122.59 	 48.8489 , -122.59
FIXED for  Ferndale, Western Australia 	 -32.03494 , 115.92233 	 -32.03494 , 115.92233
FIXED for  Filadelfia 	 -22.333333333333 , -60.016666666667 	 -22.333333333333 , -60.016666666667
FIXED for  Flora, Illinois 	 38.671111111111 , -88.475277777778 	 38.671111111111 , -88.475277777778
FIXED for  Flora, Mississippi 	 32.5432 , -90.30926 	 32.5432 , -90.30926
FIXED for  Flora, Norway 	 61.6 , 5.0333333333333 	 61.6 , 5.0333333333333
FIXED for  Florence, Arizona 	 33.03145 , -111.38734 	 33.03145 , -111.38734
FIXED for  Florence, Colorado 	 38.390277777778 , -105.11666666667 	 38.390277777778 , -105.11666666667
FIXED for  Florence, Idaho 	 45.5011 , -116.028 	 45.5011 , -116.028
FIXED for  Florence, Kansas 	 38.2428 , -96.9294 	 38.2428 , -96.9294
FIXED for  Florence, Massachusetts 	 42.335555555556 , -72.671666666667 	 42.335555555556 , -72.671666666667
FIXED for  Florence, Nebraska 	 41.3361 , -95.9603 	 41.3361 , -95.9603
FIXED for  Florence, Oregon 	 43.984166666667 , -124.10305555556 	 43.984166666667 , -124.10305555556
FIXED for  Florence, South Carolina 	 34.183888888889 , -79.774166666667 	 34.183888888889 , -79.774166666667
FIXED for  Florencia, Cuba 	 22.1475 , -78.966944444444 	 22.1475 , -78.966944444444
FIXED for  Flores 	 -8.6747222222222 , 121.38444444444 	 -8.6747222222222 , 121.38444444444
FIXED for  Flores, Buenos Aires 	 -34.633333333333 , -58.466666666667 	 -34.633333333333 , -58.466666666667
FIXED for  Florida 	 28.133333333333 , -81.631666666667 	 28.133333333333 , -81.631666666667
FIXED for  Florida, Massachusetts 	 42.66675 , -73.01121 	 42.66675 , -73.01121
FIXED for  Floyd County, Georgia 	 34.26 , -85.22 	 34.26 , -85.22
FIXED for  Floyd County, Indiana 	 38.32 , -85.9 	 38.32 , -85.9
FIXED for  Floyd County, Kentucky 	 37.56 , -82.75 	 37.56 , -82.75
FIXED for  Floyd County, Texas 	 34.07 , -101.3 	 34.07 , -101.3
FIXED for  Floyd County, Virginia 	 36.94 , -80.36 	 36.94 , -80.36
FIXED for  Fontana, California 	 34.1 , -117.46666666667 	 34.1 , -117.46666666667
FIXED for  Fontana, Gozo 	 36.036388888889 , 14.242222222222 	 36.036388888889 , 14.242222222222
FIXED for  Fontana, Kansas 	 38.4258 , -94.8381 	 38.4258 , -94.8381
FIXED for  Formosa, Goiás 	 -15.536944444444 , -47.333888888889 	 -15.536944444444 , -47.333888888889
FIXED for  Formosa, Ontario 	 44.0667 , -81.2139 	 44.0667 , -81.2139
FIXED for  Fortaleza 	 -3.7813888888889 , -38.588888888889 	 -3.7813888888889 , -38.588888888889
FIXED for  Fort Smith, Arkansas 	 35.35 , -94.366666666667 	 35.35 , -94.366666666667
FIXED for  Fort Smith, Northwest Territories 	 60.0053 , -111.891 	 60.0053 , -111.891
FIXED for  Fortuna, California 	 40.598055555556 , -124.15722222222 	 40.598055555556 , -124.15722222222
FIXED for  Fortuna, North Dakota 	 48.911111111111 , -103.77416666667 	 48.911111111111 , -103.77416666667
